,"ID","Block","Row","Column","Position","Raw intensity (mean) {Cy3}","Raw intensity (st.dev.) {Cy3}","Background (mean) {Cy3}","Background (st.dev.) {Cy3}","Net intensity (mean) {Cy3}"
1,"Cy3_Anchor-spot",1,1,1,"1-1:1","414,4875","47,292249","410,950617","44,233161","4,100833"
2,,1,1,2,"1-1:2","424,3125","48,785138","416,246914","39,396552","9,4325"
3,,1,1,3,"1-1:3","416,525","55,892749","971,283951","1511,89202",0
4,,1,1,4,"1-1:4","983,9125","1964,184852",1767,"2663,35453",0
5,,1,1,5,"1-1:5","474,5","220,386427","896,666667","1320,144632",0
6,,1,1,6,"1-1:6","461,4","199,134876","1718,54321","2439,887277",0
7,,1,1,7,"1-1:7","441,7","108,337424","665,753086","490,203696",0
8,,1,1,8,"1-1:8","440,15","162,218488","604,679012","399,198817",0
9,,1,1,9,"1-1:9","640,5375","763,512833","1002,444444","1105,499796",0
10,,1,1,10,"1-1:10","417,1875","115,493777","632,098765","478,960948",0
11,,1,1,11,"1-1:11",430,"170,751652","749,444444","580,897366",0
12,"Cy3_Anchor-spot",1,1,12,"1-1:12","443,2625","111,996241","964,111111","855,791067",0
13,,1,1,13,"1-1:13","414,0375","51,632451","663,679012","382,273587",0
14,"Cy3_Anchor-spot",1,1,14,"1-1:14","419,9875","58,887039","577,197531","293,096077",0
15,,1,1,15,"1-1:15","446,6625","131,728522","663,345679","510,635613",0
16,,1,1,16,"1-1:16","420,1125","55,24445","570,765432","648,124916",0
17,,1,1,17,"1-1:17","995,8375","2033,829819","1776,666667","2783,967151",0
18,,1,1,18,"1-1:18","531,6875","404,943803","660,345679","411,903725",0
19,,1,1,19,"1-1:19","469,075","215,421563","1927,160494","2692,685938",0
20,,1,1,20,"1-1:20","443,1375","126,274239","611,259259","371,016603",0
21,,1,1,21,"1-1:21","417,7375","62,563941","731,617284","609,571254",0
22,,1,1,22,"1-1:22","859,25","853,811032","1285,345679","1161,295959",0
23,,1,1,23,"1-1:23","1114,1125","549,021615","855,617284","508,487182","306,1925"
24,,1,1,24,"1-1:24","434,4875","102,318069","720,024691","498,528609",0
25,"Cy3_Anchor-spot",1,1,25,"1-1:25","441,4125","139,500619","1149,407407","990,104045",0
26,,1,2,1,"1-2:1","417,9625","46,974931","417,975309","56,641631","3,189167"
27,10292,1,2,2,"1-2:2","411,8375","46,193441","415,296296","40,571062",0
28,10304,1,2,3,"1-2:3","419,6375","45,467263","437,802469","167,275926","3,9575"
29,10310,1,2,4,"1-2:4","418,2125","40,655918","508,234568","271,459908",0
30,1067,1,2,5,"1-2:5","413,875","75,784066","820,580247","817,451923",0
31,1102,1,2,6,"1-2:6","553,0625","675,167965","2428,691358","3015,334681",0
32,114,1,2,7,"1-2:7","423,6625","124,867114","599,37037","321,995359",0
33,"117_1",1,2,8,"1-2:8","417,2","63,20399","550,728395","276,83673",0
34,152,1,2,9,"1-2:9","408,6","44,500206","658,91358","611,872989",0
35,"1527,1",1,2,10,"1-2:10","402,325","73,748765","529,17284","312,142107",0
36,"1566_2",1,2,11,"1-2:11","408,3375","44,494899","541,197531","366,069748",0
37,1595,1,2,12,"1-2:12","455,1625","185,236725","751,814815","970,908815",0
38,"Cy3_Anchor-spot",1,2,13,"1-2:13","408,0125","43,697607","555,222222","436,836525",0
39,,1,2,14,"1-2:14","419,9","65,337217","451,82716","120,176099",0
40,10292,1,2,15,"1-2:15","413,7125","58,081173","897,679012","1732,088225",0
41,10304,1,2,16,"1-2:16","445,2125","129,225805","8083,444444","17658,449078",0
42,10310,1,2,17,"1-2:17","422,5","66,580303","588,703704","410,11137",0
43,1067,1,2,18,"1-2:18",413,"52,459991","667,901235","486,823957",0
44,1102,1,2,19,"1-2:19","509,5125","538,542947","2691,925926","3423,325447",0
45,114,1,2,20,"1-2:20","423,5","66,06441","682,382716","476,780808",0
46,"117_1",1,2,21,"1-2:21","404,2625","43,48832","621,753086","438,056804",0
47,152,1,2,22,"1-2:22","423,9","53,647372","662,382716","449,057668",0
48,"1527,1",1,2,23,"1-2:23","611,7375","431,630402","572,518519","367,866929","83,8975"
49,"1566_2",1,2,24,"1-2:24","417,975","46,72434","546,975309","370,053982",0
50,1595,1,2,25,"1-2:25","419,15","65,687619",741,"805,013121",0
51,20112,1,3,1,"1-3:1","406,85","42,574165","422,654321","48,794252",0
52,20124,1,3,2,"1-3:2","415,2375","44,912078","419,580247","44,328282",0
53,20151,1,3,3,"1-3:3","420,5875","46,158147","694,777778","1956,007828",0
54,20155,1,3,4,"1-3:4","423,7125","46,815878","9487,407407","21035,624673",0
55,20343,1,3,5,"1-3:5","446,7625","194,593197","684,580247","842,88927",0
56,20371,1,3,6,"1-3:6","775,8875","1438,196198","1266,469136","2226,4739",0
57,20383,1,3,7,"1-3:7","417,4","79,727161","483,54321","319,490729",0
58,20400,1,3,8,"1-3:8","431,45","106,470641","464,481481","190,565482",0
59,"20555.2_1",1,3,9,"1-3:9","412,8","50,686278","514,975309","535,605661",0
60,"20558_3",1,3,10,"1-3:10","399,5125","46,51854","406,08642","45,733794",0
61,"20560_3",1,3,11,"1-3:11","398,75","46,515956","417,111111","48,734228",0
62,20562,1,3,12,"1-3:12","403,4625","41,925173","408,876543","38,155073",0
63,,1,3,13,"1-3:13","412,475","48,463996","418,209877","47,981433",0
64,20112,1,3,14,"1-3:14",419,"52,02896","420,395062","69,073815",0
65,20124,1,3,15,"1-3:15","428,2375","52,821707","10473,17284","21263,7532",0
66,20151,1,3,16,"1-3:16","1031,0125","2022,396557","3949,790123","10471,903298",0
67,20155,1,3,17,"1-3:17","424,675","51,773796","9244,740741","20707,713138",0
68,20343,1,3,18,"1-3:18","436,5","105,379843","536,45679","381,688061",0
69,20371,1,3,19,"1-3:19","721,625","1259,371085","1237,82716","2359,440886",0
70,20383,1,3,20,"1-3:20","437,3375","84,871003","513,111111","312,96753",0
71,20400,1,3,21,"1-3:21","419,35","63,970147","487,740741","248,640995",0
72,"20555.2_1",1,3,22,"1-3:22","401,6625","49,395573","430,728395","97,897397",0
73,"20558_3",1,3,23,"1-3:23","409,0375","45,310027","412,407407","47,629239",0
74,"20560_3",1,3,24,"1-3:24","403,0625","48,040949","420,049383","46,453176",0
75,20562,1,3,25,"1-3:25","414,7125","47,994777","412,209877","49,792247","2,7125"
76,20736,1,4,1,"1-4:1","428,0125","49,724683","409,049383","55,662353","21,639167"
77,20741,1,4,2,"1-4:2","406,125","45,582135","426,753086","52,822706",0
78,20749,1,4,3,"1-4:3","421,1875","39,323744","922,91358","2525,896233",0
79,20776,1,4,4,"1-4:4","1673,1375","5695,123027","5630,530864","15699,78294",0
80,21060,1,4,5,"1-4:5","916,4","741,362577","403,493827","50,74301","513,6"
81,21068,1,4,6,"1-4:6","1167,225","1141,413403","409,777778","46,599624","757,811667"
82,21073,1,4,7,"1-4:7","640,3125","369,428693","408,135802","41,784792","233,005833"
83,21087,1,4,8,"1-4:8","935,2125","676,580376","405,074074","54,036048","530,9325"
84,236,1,4,9,"1-4:9","940,65","706,659643","404,580247","46,002952","537,276667"
85,270,1,4,10,"1-4:10","748,525","430,78624","408,790123","47,890687","340,685"
86,"279_1",1,4,11,"1-4:11","505,7125","213,114648","408,024691","49,081558","99,045833"
87,282,1,4,12,"1-4:12","1475,825","1483,515392","416,790123","137,69175","1073,811667"
88,,1,4,13,"1-4:13","959,225","867,494559","589,518519","439,410489","421,878333"
89,20736,1,4,14,"1-4:14","490,5","132,893314","435,851852","110,328953","66,193333"
90,20741,1,4,15,"1-4:15","2203,25","3882,808727","7259,765432","17186,277979",0
91,20749,1,4,16,"1-4:16","464,3875","156,725309","9704,197531","20274,36995",0
92,20776,1,4,17,"1-4:17",1454,"5263,023915","5152,111111","14596,515276",0
93,21060,1,4,18,"1-4:18","916,525","757,765435","416,222222","47,380903","500,618333"
94,21068,1,4,19,"1-4:19","1005,2625","817,929351","407,740741","45,085136","598,3825"
95,21073,1,4,20,"1-4:20","701,0125","420,913278","406,753086","42,748839","294,439167"
96,21087,1,4,21,"1-4:21","983,9125","658,50362","419,197531","47,275104","564,125833"
97,236,1,4,22,"1-4:22","898,1625","632,911145","419,45679","46,853508","478,429167"
98,270,1,4,23,"1-4:23","758,575","430,568737","407,530864","44,864821","350,375"
99,"279_1",1,4,24,"1-4:24","598,0125","311,005901","417,555556","53,494159","181,065833"
100,282,1,4,25,"1-4:25","1571,875","1651,074268","441,555556","164,906716","1153,035"
101,"315.1_1",1,5,1,"1-5:1","411,525","41,560989","424,987654","48,985583",0
102,319,1,5,2,"1-5:2",412,"44,285895","428,839506","40,753054",0
103,341,1,5,3,"1-5:3","419,7","47,084196","415,925926","45,461461","4,9"
104,351,1,5,4,"1-5:4","515,475","373,275273","515,91358","359,540756","47,715"
105,40162,1,5,5,"1-5:5","488,175","181,653501",463,"156,448554","43,201667"
106,40181,1,5,6,"1-5:6","423,5625","66,819963","444,061728","91,487888",0
107,40196,1,5,7,"1-5:7","407,55","56,078133","442,469136","112,372493",0
108,40207,1,5,8,"1-5:8","429,5625","133,60672","533,641975","501,877383",0
109,"491_3",1,5,9,"1-5:9","439,6875","145,756915","583,493827","456,113915",0
110,50013,1,5,10,"1-5:10","412,8375","45,66816","511,333333","362,761113",0
111,50037,1,5,11,"1-5:11","400,35","42,56792","467,728395","171,237847",0
112,50080,1,5,12,"1-5:12","408,3","47,002936","470,938272","191,757226",0
113,,1,5,13,"1-5:13","410,675","41,88404","503,135802","192,371889",0
114,"315.1_1",1,5,14,"1-5:14","420,8875","46,11982","468,333333","138,8555",0
115,319,1,5,15,"1-5:15","414,225","49,672083","1258,382716","3078,494107",0
116,341,1,5,16,"1-5:16","2242,025","8250,772205","5481,777778","14842,296661",0
117,351,1,5,17,"1-5:17","501,1625","247,446731","478,654321","175,231644","45,2825"
118,40162,1,5,18,"1-5:18","500,675","288,068987","460,469136","163,653833","60,328333"
119,40181,1,5,19,"1-5:19",449,"89,927256","474,987654","175,826299",0
120,40196,1,5,20,"1-5:20","435,4625","98,700152","459,975309","207,147772","2,675833"
121,40207,1,5,21,"1-5:21","440,35","131,22848","570,567901","427,098728",0
122,"491_3",1,5,22,"1-5:22","462,25","170,960244","531,407407","303,510576",0
123,50013,1,5,23,"1-5:23","410,1375","49,654947","432,54321","118,13806",0
124,50037,1,5,24,"1-5:24","410,825","46,776813","509,037037","279,081863",0
125,50080,1,5,25,"1-5:25","413,475","53,197262","521,283951","255,89882",0
126,60007,1,6,1,"1-6:1","415,225","47,094028","422,333333","40,500309",0
127,60016,1,6,2,"1-6:2","418,55","44,669504","408,851852","46,544364","11,51"
128,60039,1,6,3,"1-6:3","414,85","42,690259","402,469136","39,209083","12,65"
129,60070,1,6,4,"1-6:4","409,95","50,083702","651,814815","639,034117",0
130,"60361_1",1,6,5,"1-6:5","413,5625","45,237445","526,592593","332,882253",0
131,60386,1,6,6,"1-6:6","423,5","61,865514","2879,925926","5689,896976",0
132,"60395_1",1,6,7,"1-6:7","404,1125","46,770107","455,481481","104,903183",0
133,60406,1,6,8,"1-6:8","408,5","49,326348","489,802469","208,929319",0
134,"695_1",1,6,9,"1-6:9","412,95","41,830853","549,358025","421,097444",0
135,70002,1,6,10,"1-6:10",411,"45,694362","1181,518519","1808,999952",0
136,70006,1,6,11,"1-6:11","406,2375","50,540432","549,839506","347,314679",0
137,70020,1,6,12,"1-6:12","434,9125","302,40773","505,777778","253,966139",0
138,,1,6,13,"1-6:13","413,4375","62,346286","2730,469136","8804,528636",0
139,60007,1,6,14,"1-6:14","552,65","537,992709","14053,617284","25742,56231",0
140,60016,1,6,15,"1-6:15","406,7375","50,953129","623,197531","453,252783",0
141,60039,1,6,16,"1-6:16","434,75","96,301938","436,506173","77,896746","3,483333"
142,60070,1,6,17,"1-6:17","420,1875","60,014153","541,938272","326,373994",0
143,"60361_1",1,6,18,"1-6:18","415,075","51,557213","536,938272","300,007931",0
144,60386,1,6,19,"1-6:19","442,0125","187,8569","2758,469136","5500,540062",0
145,"60395_1",1,6,20,"1-6:20","407,675","46,514942","482,567901","218,051997",0
146,60406,1,6,21,"1-6:21","403,45","45,654148","466,679012","145,486582",0
147,"695_1",1,6,22,"1-6:22","403,1125","54,483535","463,864198","174,357015",0
148,70002,1,6,23,"1-6:23","412,5","37,533445","1189,098765","1797,492702",0
149,70006,1,6,24,"1-6:24","402,8875","50,196826","573,580247","343,516807",0
150,70020,1,6,25,"1-6:25","403,8","46,824315","670,074074","517,973112",0
151,820,1,7,1,"1-7:1","417,65","47,771635","411,617284","43,557022","6,463333"
152,825,1,7,2,"1-7:2","416,525","37,876206","417,061728","39,910007",0
153,"839_1",1,7,3,"1-7:3","409,35","48,065383","415,679012","48,807742",0
154,862,1,7,4,"1-7:4","435,3625","96,404376","931,851852","1072,91428",0
155,"10230_1_MM",1,7,5,"1-7:5","428,9625","73,385827","1241,654321","1683,494581",0
156,"10255_MM",1,7,6,"1-7:6","1420,8125","4095,078365","1746,851852","3934,865185","246,159167"
157,"1027_MM",1,7,7,"1-7:7","418,675","81,929697","1590,82716","2444,489675",0
158,"10294_MM",1,7,8,"1-7:8","433,6125","234,093971","3152,765432","5714,915626",0
159,"10550_MM",1,7,9,"1-7:9","427,75","72,951952","1903,777778","3018,168389",0
160,"1065_1_MM",1,7,10,"1-7:10","493,7375","397,812428","926,765432","1479,325414",0
